change_type,price,priceintervals,depth.x,cumulativedepth.x,depth.y,cumulativedepth.y
asks,25992.32,25990,0.25887937,0,NULL,NULL
asks,25992.33,25990,0.25969197,0,NULL,NULL
asks,25992.99,25990,0.00465,0,NULL,NULL
asks,25993.25,25990,0.000962,0,NULL,NULL
asks,25993.26,25990,0.17657782,0,NULL,NULL
asks,25993.27,25990,0.28853625,0,NULL,NULL
asks,25993.54,25990,0.00576,0,NULL,NULL
asks,25993.56,25990,0.000192,0,NULL,NULL
asks,25993.57,25990,0.00576,0,NULL,NULL
asks,25993.59,25990,0.00576,0,NULL,NULL
asks,25993.66,25990,0.00576,0,NULL,NULL
asks,25993.68,25990,0.00576,0,NULL,NULL
asks,25993.8,25990,0.00576,0,NULL,NULL
asks,25993.83,25990,0.00576,0,NULL,NULL
asks,25994.05,25990,0.00576,0,NULL,NULL
asks,25994.17,25990,0.01269606,0,NULL,NULL
asks,25994.18,25990,0.008656,0,NULL,NULL
asks,25994.2,25990,0.09728247,0,NULL,NULL
asks,25994.33,25990,0.06,0,NULL,NULL
asks,25994.47,25990,0.28852294,0,NULL,NULL
asks,25994.56,25990,0.28852194,0,NULL,NULL
asks,25994.94,25990,0.08742215,0,NULL,NULL
asks,25994.95,25990,0.14570345,0,NULL,NULL
asks,25994.98,25990,0.058,0,NULL,NULL
asks,25996.1,25990,0.058,0,NULL,NULL
asks,25996.59,25990,0.03847936,0,NULL,NULL
asks,25996.64,25990,0.06,0,NULL,NULL
asks,25996.72,25990,0.00581,0,NULL,NULL
asks,25997.27,25990,0.04442307,0,NULL,NULL
asks,25997.32,25990,0.04475336,0,NULL,NULL
asks,25997.35,25990,0.07524002,0,NULL,NULL
asks,25997.36,25990,0.1254,0,NULL,NULL
asks,25997.4,25990,0.058,0,NULL,NULL
asks,25997.59,25990,0.04028367,0,NULL,NULL
asks,25997.64,25990,0.04005616,0,NULL,NULL
asks,25997.68,25990,0.90146159,0,NULL,NULL
asks,25997.69,25990,1.50243587,0,NULL,NULL
asks,25997.75,25990,0.03154561,0,NULL,NULL
asks,25997.79,25990,0.02930347,0,NULL,NULL
asks,25997.83,25990,0.2,0,NULL,NULL
asks,25997.86,25990,0.08,0,NULL,NULL
asks,25997.96,25990,0.5956971,0,NULL,NULL
asks,25997.98,25990,0.06,0,NULL,NULL
asks,25998.31,25990,0.31986534,0,NULL,NULL
asks,25998.41,25990,0.04592381,0,NULL,NULL
asks,25998.42,25990,0.06,0,NULL,NULL
asks,25998.64,25990,0.08,0,NULL,NULL
asks,25998.7,25990,0.058,0,NULL,NULL
asks,25998.93,25990,0.06025858,0,NULL,NULL
asks,25999.11,25990,0.61327773,0,NULL,NULL
asks,25999.12,25990,0.30296391,0,NULL,NULL
asks,25999.13,25990,0.03495946,0,NULL,NULL
asks,25999.56,25990,0.03847112,0,NULL,NULL
asks,25999.61,25990,0.17969741,0,NULL,NULL
asks,25999.62,25990,1.06,0,NULL,NULL
asks,26000.25,26000,0.01156751,8.92668106,NULL,NULL
